SAMPLE_ID1,SAMPLE_ID2,SAMPLE_ID3,LAB_L,LAB_A,LAB_B,nm380,nm390,nm400,nm410,nm420,nm430,nm440,nm450,nm460,nm470,nm480,nm490,nm500,nm510,nm520,nm530,nm540,nm550,nm560,nm570,nm580,nm590,nm600,nm610,nm620,nm630,nm640,nm650,nm660,nm670,nm680,nm690,nm700,nm710,nm720,nm730
"""TR651_T35_P1_dmax-0 M0""","""""","""""",73.98,1.08,24.56,1.624852E-1,1.729049E-1,1.858163E-1,2.004499E-1,2.149980E-1,2.298525E-1,2.455704E-1,2.650729E-1,2.850939E-1,3.054658E-1,3.258409E-1,3.479256E-1,3.708859E-1,3.924013E-1,4.141337E-1,4.340404E-1,4.513929E-1,4.669392E-1,4.802815E-1,4.948881E-1,5.057833E-1,5.170401E-1,5.278023E-1,5.387846E-1,5.482560E-1,5.566823E-1,5.665557E-1,5.771812E-1,5.875562E-1,5.964081E-1,6.062229E-1,6.153145E-1,6.247760E-1,6.339644E-1,6.412775E-1,6.463895E-1
"""TR651_T35_P1_dmax-0 M1""","""""","""""",73.99,1.07,24.55,1.624852E-1,1.729049E-1,1.858163E-1,2.000349E-1,2.148582E-1,2.299977E-1,2.456791E-1,2.651415E-1,2.852100E-1,3.056345E-1,3.260202E-1,3.481264E-1,3.710939E-1,3.925774E-1,4.143147E-1,4.342693E-1,4.516038E-1,4.670338E-1,4.802815E-1,4.948881E-1,5.057833E-1,5.170401E-1,5.278023E-1,5.387846E-1,5.482560E-1,5.566823E-1,5.665557E-1,5.771812E-1,5.875562E-1,5.964081E-1,6.062229E-1,6.153145E-1,6.247760E-1,6.339644E-1,6.412775E-1,6.463895E-1
"""TR651_T35_P1_dmax-0 M2""","""""","""""",73.98,1.08,24.62,0.000000E+0,0.000000E+0,1.858163E-1,2.018740E-1,2.153090E-1,2.295960E-1,2.452192E-1,2.647744E-1,2.847323E-1,3.051126E-1,3.255045E-1,3.476267E-1,3.706047E-1,3.922153E-1,4.140021E-1,4.338686E-1,4.512268E-1,4.668486E-1,4.802815E-1,4.948881E-1,5.057833E-1,5.170401E-1,5.278023E-1,5.387846E-1,5.482560E-1,5.566823E-1,5.665557E-1,5.771812E-1,5.875562E-1,5.964081E-1,6.062229E-1,6.153145E-1,6.247760E-1,6.339644E-1,6.412775E-1,6.463895E-1
"""TR651_T35_P1_dmax-1 M0""","""""","""""",73.97,1.02,24.64,1.580624E-1,1.716057E-1,1.843250E-1,1.987237E-1,2.139051E-1,2.291556E-1,2.449866E-1,2.640102E-1,2.844486E-1,3.049067E-1,3.254730E-1,3.476761E-1,3.704999E-1,3.922750E-1,4.141654E-1,4.339891E-1,4.514332E-1,4.670253E-1,4.803458E-1,4.947264E-1,5.055568E-1,5.167056E-1,5.274087E-1,5.382931E-1,5.479299E-1,5.561907E-1,5.658305E-1,5.764305E-1,5.865681E-1,5.954477E-1,6.052809E-1,6.142829E-1,6.235757E-1,6.328384E-1,6.400344E-1,6.457697E-1
"""TR651_T35_P1_dmax-1 M1""","""""","""""",73.98,1.00,24.64,1.580624E-1,1.716057E-1,1.843250E-1,1.982954E-1,2.137063E-1,2.292511E-1,2.450467E-1,2.640548E-1,2.845530E-1,3.050435E-1,3.256201E-1,3.478674E-1,3.706962E-1,3.924557E-1,4.143382E-1,4.342119E-1,4.515941E-1,4.670970E-1,4.803458E-1,4.947264E-1,5.055568E-1,5.167056E-1,5.274087E-1,5.382931E-1,5.479299E-1,5.561907E-1,5.658305E-1,5.764305E-1,5.865681E-1,5.954477E-1,6.052809E-1,6.142829E-1,6.235757E-1,6.328384E-1,6.400344E-1,6.457697E-1
"""TR651_T35_P1_dmax-1 M2""","""""","""""",73.97,1.02,24.69,0.000000E+0,0.000000E+0,1.843250E-1,2.001936E-1,2.143473E-1,2.289869E-1,2.447924E-1,2.638164E-1,2.841236E-1,3.046202E-1,3.251969E-1,3.473914E-1,3.702344E-1,3.920842E-1,4.140398E-1,4.338219E-1,4.513066E-1,4.669566E-1,4.803458E-1,4.947264E-1,5.055568E-1,5.167056E-1,5.274087E-1,5.382931E-1,5.479299E-1,5.561907E-1,5.658305E-1,5.764305E-1,5.865681E-1,5.954477E-1,6.052809E-1,6.142829E-1,6.235757E-1,6.328384E-1,6.400344E-1,6.457697E-1
"""TR651_T35_P1_dmax-2 M0""","""""","""""",73.92,1.24,24.70,1.604584E-1,1.721396E-1,1.838290E-1,1.987880E-1,2.139465E-1,2.281569E-1,2.437977E-1,2.632551E-1,2.836250E-1,3.039502E-1,3.241380E-1,3.461614E-1,3.689342E-1,3.902957E-1,4.122742E-1,4.322455E-1,4.496693E-1,4.654030E-1,4.790465E-1,4.941487E-1,5.053652E-1,5.169724E-1,5.280769E-1,5.390129E-1,5.485675E-1,5.572969E-1,5.675257E-1,5.782709E-1,5.884603E-1,5.974413E-1,6.074416E-1,6.167684E-1,6.260077E-1,6.353878E-1,6.421713E-1,6.472463E-1
"""TR651_T35_P1_dmax-2 M1""","""""","""""",73.93,1.22,24.69,1.604584E-1,1.721396E-1,1.838290E-1,1.986232E-1,2.139163E-1,2.283622E-1,2.439291E-1,2.633457E-1,2.837441E-1,3.041294E-1,3.243294E-1,3.463870E-1,3.692119E-1,3.905156E-1,4.125052E-1,4.324856E-1,4.499216E-1,4.655107E-1,4.790465E-1,4.941487E-1,5.053652E-1,5.169724E-1,5.280769E-1,5.390129E-1,5.485675E-1,5.572969E-1,5.675257E-1,5.782709E-1,5.884603E-1,5.974413E-1,6.074416E-1,6.167684E-1,6.260077E-1,6.353878E-1,6.421713E-1,6.472463E-1
"""TR651_T35_P1_dmax-2 M2""","""""","""""",73.91,1.23,24.77,0.000000E+0,0.000000E+0,1.838290E-1,1.993537E-1,2.140137E-1,2.277943E-1,2.433734E-1,2.628616E-1,2.832543E-1,3.035753E-1,3.237788E-1,3.458255E-1,3.685586E-1,3.900636E-1,4.121061E-1,4.320654E-1,4.494706E-1,4.652997E-1,4.790465E-1,4.941487E-1,5.053652E-1,5.169724E-1,5.280769E-1,5.390129E-1,5.485675E-1,5.572969E-1,5.675257E-1,5.782709E-1,5.884603E-1,5.974413E-1,6.074416E-1,6.167684E-1,6.260077E-1,6.353878E-1,6.421713E-1,6.472463E-1
"""TR651_T35_P1_dmin-0 M0""","""""","""""",86.54,0.08,15.12,3.580330E-1,3.852639E-1,4.093511E-1,4.322619E-1,4.534175E-1,4.749469E-1,4.957637E-1,5.177873E-1,5.393452E-1,5.595607E-1,5.788195E-1,5.979474E-1,6.164041E-1,6.322701E-1,6.481052E-1,6.634358E-1,6.785325E-1,6.915287E-1,7.019571E-1,7.142069E-1,7.220970E-1,7.304508E-1,7.392207E-1,7.486632E-1,7.567620E-1,7.628710E-1,7.697670E-1,7.774603E-1,7.853167E-1,7.919339E-1,7.985648E-1,8.056071E-1,8.137375E-1,8.201141E-1,8.253143E-1,8.314592E-1
